 0.00000000e+00  6.99793286e-01  0.00000000e+00  0.00000000e+00 
 1.00000000e-03  6.99787647e-01  1.00000000e-03  1.00000000e-03 
 2.00000000e-03  6.99781777e-01  2.00000000e-03  2.00000000e-03 
 3.00000000e-03  6.99775747e-01  3.00000000e-03  3.00000000e-03 
 4.00000000e-03  6.99769552e-01  4.00000000e-03  4.00000000e-03 
 5.00000000e-03  6.99763188e-01  5.00000000e-03  5.00000000e-03 
 6.00000000e-03  6.99756650e-01  6.00000000e-03  6.00000000e-03 
 7.00000000e-03  6.99749933e-01  7.00000000e-03  7.00000000e-03 
 8.00000000e-03  6.99743033e-01  8.00000000e-03  8.00000000e-03 
 9.00000000e-03  6.99735944e-01  9.00000000e-03  9.00000000e-03 
 1.00000000e-02  6.99728661e-01  1.00000000e-02  1.00000000e-02 
 1.10000000e-02  6.99721179e-01  1.10000000e-02  1.10000000e-02 
 1.20000000e-02  6.99713493e-01  1.20000000e-02  1.20000000e-02 
 1.30000000e-02  6.99705596e-01  1.30000000e-02  1.30000000e-02 
 1.40000000e-02  6.99697483e-01  1.40000000e-02  1.40000000e-02 
 1.50000000e-02  6.99689148e-01  1.50000000e-02  1.50000000e-02 
 1.60000000e-02  6.99680585e-01  1.60000000e-02  1.60000000e-02 
 1.70000000e-02  6.99671787e-01  1.70000000e-02  1.70000000e-02 
 1.80000000e-02  6.99662748e-01  1.80000000e-02  1.80000000e-02 
 1.90000000e-02  6.99653462e-01  1.90000000e-02  1.90000000e-02 
 2.00000000e-02  6.99643921e-01  2.00000000e-02  2.00000000e-02 
 2.10000000e-02  6.99634118e-01  2.10000000e-02  2.10000000e-02 
 2.20000000e-02  6.99624047e-01  2.20000000e-02  2.20000000e-02 
 2.30000000e-02  6.99613699e-01  2.30000000e-02  2.30000000e-02 
 2.40000000e-02  6.99603068e-01  2.40000000e-02  2.40000000e-02 
 2.50000000e-02  6.99592145e-01  2.50000000e-02  2.50000000e-02 
 2.60000000e-02  6.99580922e-01  2.60000000e-02  2.60000000e-02 
 2.70000000e-02  6.99569391e-01  2.70000000e-02  2.70000000e-02 
 2.80000000e-02  6.99557544e-01  2.80000000e-02  2.80000000e-02 
 2.90000000e-02  6.99545372e-01  2.90000000e-02  2.90000000e-02 
 3.00000000e-02  6.99532865e-01  3.00000000e-02  3.00000000e-02 
 3.10000000e-02  6.99520015e-01  3.10000000e-02  3.10000000e-02 
 3.20000000e-02  6.99506812e-01  3.20000000e-02  3.20000000e-02 
 3.30000000e-02  6.99493247e-01  3.30000000e-02  3.30000000e-02 
 3.40000000e-02  6.99479309e-01  3.40000000e-02  3.40000000e-02 
 3.50000000e-02  6.99464989e-01  3.50000000e-02  3.50000000e-02 
 3.60000000e-02  6.99450276e-01  3.60000000e-02  3.60000000e-02 
 3.70000000e-02  6.99435158e-01  3.70000000e-02  3.70000000e-02 
 3.80000000e-02  6.99419626e-01  3.80000000e-02  3.80000000e-02 
 3.90000000e-02  6.99403667e-01  3.90000000e-02  3.90000000e-02 
 4.00000000e-02  6.99387271e-01  4.00000000e-02  4.00000000e-02 
 4.10000000e-02  6.99370425e-01  4.10000000e-02  4.10000000e-02 
 4.20000000e-02  6.99353116e-01  4.20000000e-02  4.20000000e-02 
 4.30000000e-02  6.99335333e-01  4.30000000e-02  4.30000000e-02 
 4.40000000e-02  6.99317063e-01  4.40000000e-02  4.40000000e-02 
 4.50000000e-02  6.99298292e-01  4.50000000e-02  4.50000000e-02 
 4.60000000e-02  6.99279007e-01  4.60000000e-02  4.60000000e-02 
 4.70000000e-02  6.99259194e-01  4.70000000e-02  4.70000000e-02 
 4.80000000e-02  6.99238839e-01  4.80000000e-02  4.80000000e-02 
 4.90000000e-02  6.99217928e-01  4.90000000e-02  4.90000000e-02 
 5.00000000e-02  6.99196444e-01  5.00000000e-02  5.00000000e-02 
 5.10000000e-02  6.99174374e-01  5.10000000e-02  5.10000000e-02 
 5.20000000e-02  6.99151702e-01  5.20000000e-02  5.20000000e-02 
 5.30000000e-02  6.99128411e-01  5.30000000e-02  5.30000000e-02 
 5.40000000e-02  6.99104485e-01  5.40000000e-02  5.40000000e-02 
 5.50000000e-02  6.99079907e-01  5.50000000e-02  5.50000000e-02 
 5.60000000e-02  6.99054661e-01  5.60000000e-02  5.60000000e-02 
 5.70000000e-02  6.99028728e-01  5.70000000e-02  5.70000000e-02 
 5.80000000e-02  6.99002091e-01  5.80000000e-02  5.80000000e-02 
 5.90000000e-02  6.98974731e-01  5.90000000e-02  5.90000000e-02 
 6.00000000e-02  6.98946629e-01  6.00000000e-02  6.00000000e-02 
 6.10000000e-02  6.98917766e-01  6.10000000e-02  6.10000000e-02 
 6.20000000e-02  6.98888123e-01  6.20000000e-02  6.20000000e-02 
 6.30000000e-02  6.98857679e-01  6.30000000e-02  6.30000000e-02 
 6.40000000e-02  6.98826414e-01  6.40000000e-02  6.40000000e-02 
 6.50000000e-02  6.98794306e-01  6.50000000e-02  6.50000000e-02 
 6.60000000e-02  6.98761335e-01  6.60000000e-02  6.60000000e-02 
 6.70000000e-02  6.98727477e-01  6.70000000e-02  6.70000000e-02 
 6.80000000e-02  6.98692712e-01  6.80000000e-02  6.80000000e-02 
 6.90000000e-02  6.98657015e-01  6.90000000e-02  6.90000000e-02 
 7.00000000e-02  6.98620364e-01  7.00000000e-02  7.00000000e-02 
 7.10000000e-02  6.98582734e-01  7.10000000e-02  7.10000000e-02 
 7.20000000e-02  6.98544102e-01  7.20000000e-02  7.20000000e-02 
 7.30000000e-02  6.98504442e-01  7.30000000e-02  7.30000000e-02 
 7.40000000e-02  6.98463729e-01  7.40000000e-02  7.40000000e-02 
 7.50000000e-02  6.98421938e-01  7.50000000e-02  7.50000000e-02 
 7.60000000e-02  6.98379041e-01  7.60000000e-02  7.60000000e-02 
 7.70000000e-02  6.98335012e-01  7.70000000e-02  7.70000000e-02 
 7.80000000e-02  6.98289824e-01  7.80000000e-02  7.80000000e-02 
 7.90000000e-02  6.98243449e-01  7.90000000e-02  7.90000000e-02 
 8.00000000e-02  6.98195858e-01  8.00000000e-02  8.00000000e-02 
 8.10000000e-02  6.98147023e-01  8.10000000e-02  8.10000000e-02 
 8.20000000e-02  6.98096913e-01  8.20000000e-02  8.20000000e-02 
 8.30000000e-02  6.98045500e-01  8.30000000e-02  8.30000000e-02 
 8.40000000e-02  6.97992752e-01  8.40000000e-02  8.40000000e-02 
 8.50000000e-02  6.97938640e-01  8.50000000e-02  8.50000000e-02 
 8.60000000e-02  6.97883130e-01  8.60000000e-02  8.60000000e-02 
 8.70000000e-02  6.97826191e-01  8.70000000e-02  8.70000000e-02 
 8.80000000e-02  6.97767791e-01  8.80000000e-02  8.80000000e-02 
 8.90000000e-02  6.97707897e-01  8.90000000e-02  8.90000000e-02 
 9.00000000e-02  6.97646475e-01  9.00000000e-02  9.00000000e-02 
 9.10000000e-02  6.97583491e-01  9.10000000e-02  9.10000000e-02 
 9.20000000e-02  6.97518910e-01  9.20000000e-02  9.20000000e-02 
 9.30000000e-02  6.97452698e-01  9.30000000e-02  9.30000000e-02 
 9.40000000e-02  6.97384819e-01  9.40000000e-02  9.40000000e-02 
 9.50000000e-02  6.97315236e-01  9.50000000e-02  9.50000000e-02 
 9.60000000e-02  6.97243914e-01  9.60000000e-02  9.60000000e-02 
 9.70000000e-02  6.97170816e-01  9.70000000e-02  9.70000000e-02 
 9.80000000e-02  6.97095903e-01  9.80000000e-02  9.80000000e-02 
 9.90000000e-02  6.97019139e-01  9.90000000e-02  9.90000000e-02 
 1.00000000e-01  6.96940485e-01  1.00000000e-01  1.00000000e-01 
 1.01000000e-01  6.96859901e-01  1.01000000e-01  1.01000000e-01 
 1.02000000e-01  6.96777350e-01  1.02000000e-01  1.02000000e-01 
 1.03000000e-01  6.96692791e-01  1.03000000e-01  1.03000000e-01 
 1.04000000e-01  6.96606184e-01  1.04000000e-01  1.04000000e-01 
 1.05000000e-01  6.96517490e-01  1.05000000e-01  1.05000000e-01 
 1.06000000e-01  6.96426667e-01  1.06000000e-01  1.06000000e-01 
 1.07000000e-01  6.96333673e-01  1.07000000e-01  1.07000000e-01 
 1.08000000e-01  6.96238469e-01  1.08000000e-01  1.08000000e-01 
 1.09000000e-01  6.96141011e-01  1.09000000e-01  1.09000000e-01 
 1.10000000e-01  6.96041258e-01  1.10000000e-01  1.10000000e-01 
 1.11000000e-01  6.95939167e-01  1.11000000e-01  1.11000000e-01 
 1.12000000e-01  6.95834696e-01  1.12000000e-01  1.12000000e-01 
 1.13000000e-01  6.95727801e-01  1.13000000e-01  1.13000000e-01 
 1.14000000e-01  6.95618439e-01  1.14000000e-01  1.14000000e-01 
 1.15000000e-01  6.95506566e-01  1.15000000e-01  1.15000000e-01 
 1.16000000e-01  6.95392140e-01  1.16000000e-01  1.16000000e-01 
 1.17000000e-01  6.95275114e-01  1.17000000e-01  1.17000000e-01 
 1.18000000e-01  6.95155446e-01  1.18000000e-01  1.18000000e-01 
 1.19000000e-01  6.95033091e-01  1.19000000e-01  1.19000000e-01 
 1.20000000e-01  6.94908004e-01  1.20000000e-01  1.20000000e-01 
 1.21000000e-01  6.94780140e-01  1.21000000e-01  1.21000000e-01 
 1.22000000e-01  6.94649455e-01  1.22000000e-01  1.22000000e-01 
 1.23000000e-01  6.94515903e-01  1.23000000e-01  1.23000000e-01 
 1.24000000e-01  6.94379439e-01  1.24000000e-01  1.24000000e-01 
 1.25000000e-01  6.94240018e-01  1.25000000e-01  1.25000000e-01 
 1.26000000e-01  6.94097595e-01  1.26000000e-01  1.26000000e-01 
 1.27000000e-01  6.93952124e-01  1.27000000e-01  1.27000000e-01 
 1.28000000e-01  6.93803560e-01  1.28000000e-01  1.28000000e-01 
 1.29000000e-01  6.93651858e-01  1.29000000e-01  1.29000000e-01 
 1.30000000e-01  6.93496971e-01  1.30000000e-01  1.30000000e-01 
 1.31000000e-01  6.93338855e-01  1.31000000e-01  1.31000000e-01 
 1.32000000e-01  6.93177465e-01  1.32000000e-01  1.32000000e-01 
 1.33000000e-01  6.93012755e-01  1.33000000e-01  1.33000000e-01 
 1.34000000e-01  6.92844679e-01  1.34000000e-01  1.34000000e-01 
 1.35000000e-01  6.92673193e-01  1.35000000e-01  1.35000000e-01 
 1.36000000e-01  6.92498253e-01  1.36000000e-01  1.36000000e-01 
 1.37000000e-01  6.92319812e-01  1.37000000e-01  1.37000000e-01 
 1.38000000e-01  6.92137827e-01  1.38000000e-01  1.38000000e-01 
 1.39000000e-01  6.91952253e-01  1.39000000e-01  1.39000000e-01 
 1.40000000e-01  6.91763045e-01  1.40000000e-01  1.40000000e-01 
 1.41000000e-01  6.91570160e-01  1.41000000e-01  1.41000000e-01 
 1.42000000e-01  6.91373553e-01  1.42000000e-01  1.42000000e-01 
 1.43000000e-01  6.91173181e-01  1.43000000e-01  1.43000000e-01 
 1.44000000e-01  6.90969001e-01  1.44000000e-01  1.44000000e-01 
 1.45000000e-01  6.90760969e-01  1.45000000e-01  1.45000000e-01 
 1.46000000e-01  6.90549042e-01  1.46000000e-01  1.46000000e-01 
 1.47000000e-01  6.90333177e-01  1.47000000e-01  1.47000000e-01 
 1.48000000e-01  6.90113333e-01  1.48000000e-01  1.48000000e-01 
 1.49000000e-01  6.89889468e-01  1.49000000e-01  1.49000000e-01 
 1.50000000e-01  6.89661538e-01  1.50000000e-01  1.50000000e-01 
 1.51000000e-01  6.89429503e-01  1.51000000e-01  1.51000000e-01 
 1.52000000e-01  6.89193322e-01  1.52000000e-01  1.52000000e-01 
 1.53000000e-01  6.88952953e-01  1.53000000e-01  1.53000000e-01 
 1.54000000e-01  6.88708357e-01  1.54000000e-01  1.54000000e-01 
 1.55000000e-01  6.88459491e-01  1.55000000e-01  1.55000000e-01 
